 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+05 eV = 3.67493E+03 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 5.76694E-18 cm**2 = 2.05941E-01 a0**2
 # 1st transport cross section = 1.86853E-20 cm**2 = 6.67264E-04 a0**2
 # 2nd transport cross section = 4.84743E-20 cm**2 = 1.73105E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.100E+00  1.97947E-03  1.80466E-17  6.44456E-01  1.30317E-04  1.0E-07
  5.200E+00  2.05780E-03  1.68326E-17  6.01103E-01  1.35158E-04  1.0E-07
  5.300E+00  2.13765E-03  1.57200E-17  5.61372E-01  1.40074E-04  1.0E-07
  5.400E+00  2.21902E-03  1.46990E-17  5.24910E-01  1.45066E-04  1.0E-07
  5.500E+00  2.30190E-03  1.37607E-17  4.91404E-01  1.50135E-04  1.0E-07
  5.600E+00  2.38630E-03  1.28974E-17  4.60575E-01  1.55282E-04  1.0E-07
  5.700E+00  2.47222E-03  1.21020E-17  4.32170E-01  1.60507E-04  1.0E-07
  5.800E+00  2.55965E-03  1.13682E-17  4.05966E-01  1.65812E-04  1.0E-07
  5.900E+00  2.64859E-03  1.06904E-17  3.81761E-01  1.71196E-04  1.0E-07
  6.000E+00  2.73905E-03  1.00635E-17  3.59375E-01  1.76662E-04  1.0E-07
  6.100E+00  2.83103E-03  9.48304E-18  3.38645E-01  1.82209E-04  1.0E-07
  6.200E+00  2.92452E-03  8.94485E-18  3.19427E-01  1.87839E-04  1.0E-07
  6.300E+00  3.01952E-03  8.44529E-18  3.01587E-01  1.93553E-04  1.0E-07
  6.400E+00  3.11604E-03  7.98103E-18  2.85008E-01  1.99351E-04  1.0E-07
  6.500E+00  3.21407E-03  7.54910E-18  2.69583E-01  2.05234E-04  1.0E-07
  6.600E+00  3.31362E-03  7.14677E-18  2.55216E-01  2.11203E-04  1.0E-07
  6.700E+00  3.41468E-03  6.77162E-18  2.41819E-01  2.17259E-04  1.0E-07
  6.800E+00  3.51725E-03  6.42143E-18  2.29314E-01  2.23401E-04  1.0E-07
  6.900E+00  3.62133E-03  6.09420E-18  2.17628E-01  2.29631E-04  1.0E-07
  7.000E+00  3.72692E-03  5.78810E-18  2.06697E-01  2.35949E-04  1.0E-07
  7.100E+00  3.83403E-03  5.50149E-18  1.96462E-01  2.42355E-04  1.0E-07
  7.200E+00  3.94265E-03  5.23286E-18  1.86869E-01  2.48850E-04  1.0E-07
  7.300E+00  4.05278E-03  4.98084E-18  1.77869E-01  2.55433E-04  1.0E-07
  7.400E+00  4.16442E-03  4.74418E-18  1.69418E-01  2.62105E-04  1.0E-07
  7.500E+00  4.27757E-03  4.52175E-18  1.61475E-01  2.68865E-04  1.0E-07
  7.600E+00  4.39223E-03  4.31251E-18  1.54002E-01  2.75714E-04  1.0E-07
  7.700E+00  4.50840E-03  4.11550E-18  1.46967E-01  2.82652E-04  1.0E-07
  7.800E+00  4.62608E-03  3.92985E-18  1.40338E-01  2.89678E-04  1.0E-07
  7.900E+00  4.74527E-03  3.75477E-18  1.34085E-01  2.96791E-04  1.0E-07
  8.000E+00  4.86597E-03  3.58952E-18  1.28184E-01  3.03993E-04  1.0E-07
  8.100E+00  4.98817E-03  3.43344E-18  1.22610E-01  3.11282E-04  1.0E-07
  8.200E+00  5.11188E-03  3.28589E-18  1.17341E-01  3.18657E-04  1.0E-07
  8.300E+00  5.23711E-03  3.14632E-18  1.12357E-01  3.26119E-04  1.0E-07
  8.400E+00  5.36383E-03  3.01419E-18  1.07639E-01  3.33667E-04  1.0E-07
  8.500E+00  5.49207E-03  2.88903E-18  1.03169E-01  3.41300E-04  1.0E-07
  8.600E+00  5.62181E-03  2.77038E-18  9.89320E-02  3.49018E-04  1.0E-07
  8.700E+00  5.75306E-03  2.65783E-18  9.49129E-02  3.56820E-04  1.0E-07
  8.800E+00  5.88581E-03  2.55101E-18  9.10982E-02  3.64706E-04  1.0E-07
  8.900E+00  6.02007E-03  2.44955E-18  8.74751E-02  3.72674E-04  1.0E-07
  9.000E+00  6.15583E-03  2.35314E-18  8.40320E-02  3.80725E-04  1.0E-07
  9.100E+00  6.29310E-03  2.26145E-18  8.07580E-02  3.88857E-04  1.0E-07
