 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 1.15525E-16 cm**2 = 4.12546E+00 a0**2
 # 1st transport cross section = 1.27024E-17 cm**2 = 4.53611E-01 a0**2
 # 2nd transport cross section = 2.43352E-17 cm**2 = 8.69026E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  9.750E-02  7.23942E-07  1.41911E-15  5.06774E+01  1.16182E-07  1.0E-07
  1.000E-01  7.61543E-07  1.41909E-15  5.06766E+01  1.19162E-07  1.0E-07
  1.250E-01  1.18991E-06  1.41882E-15  5.06670E+01  1.48966E-07  1.0E-07
  1.500E-01  1.71347E-06  1.41849E-15  5.06553E+01  1.78779E-07  1.0E-07
  1.750E-01  2.33223E-06  1.41810E-15  5.06414E+01  2.08604E-07  1.0E-07
  2.000E-01  3.04617E-06  1.41766E-15  5.06254E+01  2.38442E-07  1.0E-07
  2.250E-01  3.85531E-06  1.41715E-15  5.06074E+01  2.68294E-07  1.0E-07
  2.500E-01  4.75964E-06  1.41658E-15  5.05872E+01  2.98163E-07  1.0E-07
  2.750E-01  5.75916E-06  1.41596E-15  5.05648E+01  3.28051E-07  1.0E-07
  3.000E-01  6.85388E-06  1.41528E-15  5.05404E+01  3.57958E-07  1.0E-07
  3.250E-01  8.04378E-06  1.41453E-15  5.05139E+01  3.87889E-07  1.0E-07
  3.500E-01  9.32888E-06  1.41373E-15  5.04853E+01  4.17843E-07  1.0E-07
  3.750E-01  1.07092E-05  1.41287E-15  5.04545E+01  4.47823E-07  1.0E-07
  4.000E-01  1.21846E-05  1.41195E-15  5.04217E+01  4.77830E-07  1.0E-07
  4.250E-01  1.37553E-05  1.41098E-15  5.03869E+01  5.07868E-07  1.0E-07
  4.500E-01  1.54212E-05  1.40994E-15  5.03499E+01  5.37936E-07  1.0E-07
  4.750E-01  1.71822E-05  1.40885E-15  5.03109E+01  5.68038E-07  1.0E-07
  5.000E-01  1.90385E-05  1.40770E-15  5.02698E+01  5.98175E-07  1.0E-07
  5.250E-01  2.09899E-05  1.40649E-15  5.02267E+01  6.28349E-07  1.0E-07
  5.500E-01  2.30365E-05  1.40523E-15  5.01815E+01  6.58562E-07  1.0E-07
  5.750E-01  2.51783E-05  1.40390E-15  5.01343E+01  6.88815E-07  1.0E-07
  6.000E-01  2.74153E-05  1.40253E-15  5.00851E+01  7.19111E-07  1.0E-07
  6.250E-01  2.97475E-05  1.40109E-15  5.00339E+01  7.49451E-07  1.0E-07
  6.500E-01  3.21749E-05  1.39960E-15  4.99807E+01  7.79837E-07  1.0E-07
  6.750E-01  3.46974E-05  1.39805E-15  4.99254E+01  8.10271E-07  1.0E-07
  7.000E-01  3.73152E-05  1.39645E-15  4.98682E+01  8.40755E-07  1.0E-07
  7.250E-01  4.00281E-05  1.39480E-15  4.98091E+01  8.71290E-07  1.0E-07
  7.500E-01  4.28362E-05  1.39308E-15  4.97479E+01  9.01879E-07  1.0E-07
  7.750E-01  4.57395E-05  1.39132E-15  4.96849E+01  9.32523E-07  1.0E-07
  8.000E-01  4.87380E-05  1.38950E-15  4.96198E+01  9.63224E-07  1.0E-07
  8.250E-01  5.18317E-05  1.38762E-15  4.95529E+01  9.93984E-07  1.0E-07
  8.500E-01  5.50205E-05  1.38570E-15  4.94841E+01  1.02481E-06  1.0E-07
